[0:1, 0:2, 0:5, 1:3, 1:8, 2:4, 2:7, 3:4, 3:6, 4:9, 5:6, 5:9, 6:7, 7:8, 8:9]
[0:1, 0:2, 0:4, 1:3, 1:5, 2:3, 2:6, 3:7, 4:5, 4:8, 5:9, 6:7, 6:8, 7:9, 8:9]
[0:1, 0:2, 0:4, 1:3, 1:5, 2:3, 2:6, 3:7, 4:5, 4:8, 5:9, 6:7, 6:9, 7:8, 8:9]
[0:1, 0:2, 0:4, 1:3, 1:5, 2:3, 2:6, 3:8, 4:5, 4:7, 5:9, 6:7, 6:9, 7:8, 8:9]
[0:1, 0:2, 0:4, 1:3, 1:6, 2:3, 2:9, 3:5, 4:5, 4:7, 5:8, 6:7, 6:8, 7:9, 8:9]
[0:1, 0:2, 0:4, 1:3, 1:5, 2:3, 2:6, 3:4, 4:9, 5:7, 5:8, 6:7, 6:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:9, 6:7, 6:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:9, 6:7, 6:9, 7:8, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:6, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:7, 3:5, 3:6, 4:5, 4:6, 5:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:6, 2:7, 3:4, 3:5, 4:5, 4:6, 5:9, 6:8, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:5, 3:4, 3:6, 4:8, 5:7, 5:9, 6:7, 6:9, 7:8, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:5, 3:4, 3:6, 4:7, 5:6, 5:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:4, 2:7, 3:4, 3:5, 4:6, 5:6, 5:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:3, 2:4, 3:5, 4:6, 4:8, 5:7, 5:9, 6:7, 6:9, 7:8, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:3, 2:4, 3:5, 4:6, 4:7, 5:6, 5:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:3, 2:4, 3:7, 4:5, 4:6, 5:6, 5:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:3, 2:4, 3:5, 4:5, 4:6, 5:7, 6:8, 6:9, 7:8, 7:9, 8:9]
[0:1, 0:2, 0:3, 1:2, 1:3, 2:4, 3:4, 4:5, 5:6, 5:7, 6:8, 6:9, 7:8, 7:9, 8:9]
