[0:1, 0:2, 0:5, 10:11, 1:3, 1:7, 2:4, 2:8, 3:4, 3:6, 4:10, 5:6, 5:9, 6:11, 7:8, 7:9, 8:11, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:7, 3:8, 4:10, 4:6, 5:6, 5:9, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:8, 2:3, 2:9, 3:5, 4:6, 4:7, 5:6, 5:7, 6:10, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:7, 4:5, 4:8, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:7, 4:5, 4:8, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:7, 4:5, 4:8, 5:10, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:8, 4:5, 4:7, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:8, 4:5, 4:7, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:8, 4:5, 4:7, 5:10, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:8, 4:5, 4:9, 5:7, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:6, 2:3, 2:8, 3:5, 4:5, 4:7, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:6, 2:3, 2:8, 3:5, 4:5, 4:7, 5:10, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:10, 1:3, 2:11, 2:3, 3:5, 4:5, 4:6, 5:7, 6:8, 6:9, 7:8, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:4, 4:8, 5:7, 5:9, 6:11, 6:7, 7:10, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:4, 10:11, 1:3, 1:5, 2:3, 2:6, 3:4, 4:8, 5:10, 5:7, 6:11, 6:7, 7:9, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:8, 3:5, 3:7, 4:6, 4:9, 5:10, 5:6, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:8, 3:5, 3:7, 4:10, 4:6, 5:6, 5:9, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:9, 3:5, 3:7, 4:6, 4:8, 5:6, 5:8, 6:7, 7:10, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:10, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:5, 3:7, 4:5, 4:8, 5:10, 6:7, 6:9, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:5, 3:8, 4:5, 4:9, 5:7, 6:10, 6:7, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:8, 3:5, 3:6, 4:5, 4:7, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:9, 3:5, 3:6, 4:5, 4:8, 5:7, 6:10, 6:7, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:6, 2:8, 3:4, 3:5, 4:5, 4:7, 5:11, 6:7, 6:9, 7:10, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:8, 5:10, 5:7, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:9, 5:7, 5:8, 6:7, 6:8, 7:10, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:9, 5:10, 5:7, 6:7, 6:8, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:8, 4:9, 5:6, 5:7, 6:7, 6:8, 7:11, 8:10, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:7, 5:6, 5:8, 6:10, 7:11, 7:9, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:7, 5:6, 5:8, 6:9, 7:10, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:7, 5:6, 5:9, 6:8, 7:10, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:6, 4:9, 5:6, 5:7, 6:8, 7:10, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:7, 3:4, 3:5, 4:6, 5:10, 5:6, 6:11, 7:8, 7:9, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:5, 3:4, 3:5, 4:6, 5:9, 6:7, 6:8, 7:10, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:4, 2:6, 3:4, 3:5, 4:5, 5:9, 6:7, 6:8, 7:10, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:11, 8:10, 8:9, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:8, 5:10, 5:7, 6:7, 6:9, 7:11, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:8, 5:7, 5:9, 6:10, 6:7, 7:8, 8:11, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:7, 5:6, 5:8, 6:10, 7:11, 7:9, 8:11, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:2, 1:3, 2:4, 3:5, 4:6, 4:7, 5:6, 5:8, 6:9, 7:10, 7:8, 8:11, 9:10, 9:11]
