[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 3:9, 4:10, 4:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 3:9, 4:10, 5:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 3:9, 4:10, 6:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 3:9, 4:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 5:10, 6:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 5:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 5:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 6:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 6:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 4:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 4:11, 8:10, 8:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:8, 8:9, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:10, 4:8, 4:9, 5:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:10, 4:8, 4:9, 6:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:10, 4:8, 4:9, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 3:10, 4:8, 4:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 4:9, 6:10, 6:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 4:9, 6:10, 7:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 4:9, 6:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 4:9, 6:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 5:9, 6:10, 7:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 5:9, 6:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 5:9, 6:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 5:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 5:9, 8:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 6:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 6:9, 8:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 3:11, 4:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 5:11, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 6:11, 8:10, 8:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 2:7, 4:8, 8:9, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 2:7, 4:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:7, 4:8, 5:9, 6:10, 7:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:7, 4:8, 5:9, 6:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 4:8, 5:9, 6:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:7, 4:8, 6:9, 7:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 4:8, 6:9, 7:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:7, 4:8, 6:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 4:8, 6:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 4:8, 6:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 4:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:7, 6:8, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 6:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:7, 6:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:7, 6:8, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:7, 6:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:7, 6:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 4:10, 5:11, 6:7, 6:8]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 4:10, 6:7, 6:8, 7:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 4:10, 6:7, 6:8, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:9, 4:10, 6:7, 6:8]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 6:7, 6:8, 7:10, 8:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 6:7, 6:8, 7:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:9, 6:7, 6:8, 7:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:9, 6:7, 6:8, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:9, 6:7, 6:8, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:9, 5:10, 6:7, 6:8, 7:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:9, 5:10, 6:7, 6:8]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:9, 6:7, 6:8, 7:10, 8:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:9, 6:7, 6:8, 7:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:9, 6:7, 6:8, 7:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:9, 6:7, 6:8, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:9, 6:7, 6:8, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:11, 6:7, 6:8, 7:10, 7:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 6:8, 7:10, 7:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 6:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 6:7, 6:8, 7:9, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 6:8, 7:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:10, 4:11, 6:7, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:10, 6:7, 7:8, 7:9, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 3:10, 6:7, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:10, 5:11, 6:7, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:10, 6:7, 7:8, 7:9, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 4:10, 6:7, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 6:7, 7:8, 7:9, 8:10, 8:11]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 6:7, 7:8, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 7:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 3:11, 6:7, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 4:11, 6:7, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 1:5, 2:6, 6:7, 7:8, 8:9, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 1:5, 2:6, 6:7, 7:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 2:5, 3:6, 4:7, 5:8, 6:9, 7:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 3:6, 4:7, 5:8, 6:9, 7:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 3:6, 4:7, 5:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 3:6, 4:7, 5:8, 7:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 3:6, 4:7, 7:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 2:5, 4:6, 5:7, 6:8, 7:9, 8:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 4:6, 5:7, 6:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 4:6, 5:7, 6:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:5, 4:6, 6:7, 7:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:8, 4:5, 4:6, 5:9, 6:10]
[0:1, 0:2, 0:3, 1:4, 2:7, 3:8, 4:5, 4:6, 5:9, 7:10, 8:11]
[0:1, 0:2, 0:3, 1:4, 2:7, 3:8, 4:5, 4:6, 5:9, 7:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:8, 4:5, 4:6, 5:9, 7:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:8, 4:5, 4:6, 5:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:8, 4:5, 4:6, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:8, 4:5, 4:6, 7:9, 9:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 4:5, 4:6, 5:8, 7:9, 8:10]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 4:5, 4:6, 5:8, 7:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 2:7, 3:10, 4:5, 4:6, 5:11, 7:8, 7:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 3:10, 4:5, 4:6, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 2:7, 4:5, 4:6, 5:10, 6:11, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 2:7, 4:5, 4:6, 5:10, 7:8, 7:9, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 4:5, 4:6, 5:10, 7:8, 7:9]
[0:1, 0:2, 0:3, 1:4, 2:7, 3:11, 4:5, 4:6, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 2:7, 4:5, 4:6, 5:11, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 4:5, 4:6, 7:8, 8:10, 8:9]
[0:1, 0:2, 0:3, 1:4, 2:7, 4:5, 4:6, 7:8, 8:9, 9:10, 9:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:7, 4:5, 4:6, 7:8, 8:9, 9:10]
[0:1, 0:2, 0:3, 1:4, 2:8, 3:9, 4:5, 5:6, 5:7, 6:10, 7:11]
[0:1, 0:2, 0:3, 1:4, 2:8, 3:9, 4:5, 5:6, 5:7, 6:10, 8:11]
[0:1, 0:2, 0:3, 10:11, 1:4, 2:8, 3:9, 4:5, 5:6, 5:7, 6:10]
[0:1, 0:2, 0:3, 1:4, 2:8, 3:9, 4:5, 5:6, 5:7, 8:10, 9:11]
