initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
0	[0:1, 0:2, 0:3, 0:4, 0:5, 0:6]
initial 1	[0:1, 0:2, 2:3, 3:4, 0:4, 1:3, 0:3, 0:5]
1	[0:1, 0:2, 2:3, 3:4, 0:4, 1:3, 0:3, 0:5, 5:6]
2	[0:1, 0:2, 2:3, 3:4, 0:4, 1:3, 0:3, 0:5, 5:6, 3:6]
3	[0:1, 0:2, 2:3, 3:4, 0:4, 1:3, 0:3, 0:5, 3:6]
4	[0:1, 0:2, 2:3, 3:4, 0:4, 1:3, 0:3, 0:5, 0:6]
initial 2	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5]
5	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 2:6]
6	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6]
7	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6]
8	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 1:2]
9	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 4:6]
10	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6]
11	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6, 4:6]
12	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6, 4:6, 1:2]
13	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6, 4:6, 1:2, 1:6]
14	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6, 4:6, 1:2, 1:6, 0:3]
15	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 0:6, 2:6, 0:5]
16	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 2:6]
17	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 1:4]
18	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 1:4, 2:6]
19	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 1:4, 2:6, 4:6]
20	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 1:4, 2:6, 0:6]
21	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 5:6, 1:4, 2:6, 0:6, 4:6]
22	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 4:6]
23	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 4:5, 4:6, 1:4]
initial 3	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5]
24	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5, 0:6]
25	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5, 2:6]
26	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5, 2:6, 2:5]
27	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5, 1:6]
28	[0:1, 0:2, 2:3, 3:4, 0:4, 2:4, 0:5, 1:6, 0:6]
initial 4	[0:1, 0:2, 2:3, 3:4, 4:5]
29	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 2:4, 4:6]
30	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6]
31	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:4]
32	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:4, 0:4]
33	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:4, 0:4, 2:4]
34	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 0:4]
35	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 0:4, 2:4]
36	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 0:4, 2:4, 4:6]
37	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:6]
38	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:6, 2:6]
39	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:6, 2:6, 1:4]
40	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 1:2, 0:6, 1:6, 2:4]
